county,year,month,temperature,mu,sigma,norm_loss,quantile_score
Merced,2021,12,9.402712394753737,9.180381692931435,1.3309918086821788,-1.2188143288196167,0.1645032697535392
Orange,2021,1,13.335522949332471,12.647100149163666,1.0094787508803238,-1.160906465734936,0.21018816654358094
Orange,2021,2,13.813124032716589,13.066707623930798,1.2514191846665006,-1.3210966336814323,0.2347890063335444
Orange,2021,3,13.25229742965513,14.22564174226942,1.2720714569648506,-1.452323765395571,0.2932211710082038
Orange,2021,4,16.235468533514336,15.664069088342632,1.2446580621888181,-1.2431772717755234,0.1987938177471072
Orange,2021,5,17.24675965304533,17.252075099591906,1.3169632427497344,-1.1942751909517009,0.1553705539267419
Orange,2021,6,20.1382511047708,19.349852928357734,1.1596950913443778,-1.2981816267096011,0.24083022275783642
Orange,2021,7,22.645617611276805,21.703609991019093,1.1426194081332481,-1.3921027847153973,0.28300214255460676
Orange,2021,8,22.70095154540252,22.429968852365022,1.0699531487292533,-1.018625213393908,0.13996176667162233
Orange,2021,9,21.611029320832017,21.722330461110232,1.174630786885079,-1.0843815818448796,0.14070404536448014
Orange,2021,10,18.527005088951285,19.14966875575151,1.3395714179086393,-1.3193184906710622,0.2153127186434256
Orange,2021,11,17.0917919391523,15.696376182951031,1.2376536366775788,-1.7677487442281692,0.43321574783461714
Orange,2021,12,12.212491886846236,12.473175043117166,0.9105944320666096,-0.8662584102539196,0.12236738181519936
Placer,2021,1,4.140012746815046,3.87572646780605,1.2289149356914166,-1.1481948197174454,0.15640487644426576
Placer,2021,2,5.074601401668758,4.856041761412957,1.4612250413985866,-1.309399710024207,0.17894408088039904
Placer,2021,3,5.095051671521787,6.789626761245561,1.5935840872595397,-1.9503057567240714,0.5203993795737948
Placer,2021,4,10.288559916226404,9.143370863213269,1.5140360089002693,-1.6197740713369595,0.3453017607781814
Placer,2021,5,14.992363179321387,13.476936671263266,2.135244448104308,-1.9293711801362934,0.45993126316731386
Placer,2021,6,21.018503326987,18.37314840162775,1.5492013409537115,-2.8145593977186785,0.9226756748869244
Placer,2021,7,24.14672236387532,22.031049852694913,1.2476463041855284,-2.5779491598068347,0.7362919110089537
