county,year,month,temperature,simulated_temperature,mu,sigma,simulation_number,hist_temp_avg
Stanislaus,2022,7,26.33389008043423,52.713036960897625,27.06627,3.2981834,8.0,25.736526216489562
Stanislaus,2022,8,26.898889419211,45.74940960862038,22.120796,3.6150298,8.0,24.96874689986163
Stanislaus,2022,9,25.224825543076804,39.066362000720815,19.43177,3.9797964,8.0,22.835238764975443
Stanislaus,2022,10,19.366241921231165,45.24905981225978,23.494955,3.841621,8.0,18.108411774579817
Stanislaus,2022,11,10.111140951800962,36.43171356927121,13.066745,7.1649566,8.0,12.543532315879684
Stanislaus,2022,12,8.462851174013167,17.431598879503447,8.183644,0.5912481,8.0,9.033114738043796
Stanislaus,2022,1,9.473778449907796,,,,,
Stanislaus,2022,2,10.941286632941228,,,,,
Stanislaus,2022,3,14.84975094149894,,,,,
Stanislaus,2022,4,16.678622865329316,30.4243249330233,13.567265,3.01199,9.0,15.731864412369063
Stanislaus,2022,5,20.50352461236713,37.51454516647719,19.000881,1.4435167,9.0,19.603309643030446
Stanislaus,2022,6,25.333364328257577,29.976875964075898,14.334692,6.302145,9.0,23.308756408365365
Stanislaus,2022,7,26.33389008043423,52.66305232964994,27.06627,3.2981834,9.0,25.736526216489562
Stanislaus,2022,8,26.898889419211,43.11341512880608,22.120796,3.6150298,9.0,24.96874689986163
Stanislaus,2022,9,25.224825543076804,49.92610327669489,19.43177,3.9797964,9.0,22.835238764975443
Stanislaus,2022,10,19.366241921231165,40.70169648872135,23.494955,3.841621,9.0,18.108411774579817
Stanislaus,2022,11,10.111140951800962,42.22782474984628,13.066745,7.1649566,9.0,12.543532315879684
Stanislaus,2022,12,8.462851174013167,17.141551800149628,8.183644,0.5912481,9.0,9.033114738043796
Stanislaus,2022,1,9.473778449907796,,,,,
Stanislaus,2022,2,10.941286632941228,,,,,
Stanislaus,2022,3,14.84975094149894,,,,,
Stanislaus,2022,4,16.678622865329316,30.724647679790458,13.567265,3.01199,10.0,15.731864412369063
Stanislaus,2022,5,20.50352461236713,36.98461102692863,19.000881,1.4435167,10.0,19.603309643030446
Stanislaus,2022,6,25.333364328257577,26.627145618912827,14.334692,6.302145,10.0,23.308756408365365
Stanislaus,2022,7,26.33389008043423,46.670401566901354,27.06627,3.2981834,10.0,25.736526216489562
Stanislaus,2022,8,26.898889419211,52.18340393473238,22.120796,3.6150298,10.0,24.96874689986163
Stanislaus,2022,9,25.224825543076804,39.635217043118864,19.43177,3.9797964,10.0,22.835238764975443
Stanislaus,2022,10,19.366241921231165,38.2107996927315,23.494955,3.841621,10.0,18.108411774579817
Stanislaus,2022,11,10.111140951800962,29.19819585587305,13.066745,7.1649566,10.0,12.543532315879684
Stanislaus,2022,12,8.462851174013167,16.828731728756335,8.183644,0.5912481,10.0,9.033114738043796
Tulare,2022,1,4.486374848774233,,,,,
Tulare,2022,2,5.026430567973648,,,,,
Tulare,2022,3,8.48853181723041,,,,,
Tulare,2022,4,11.346770897837018,15.880560895959462,10.324097,3.3403618,1.0,10.037848667464178
Tulare,2022,5,15.725101319525097,26.907795384898687,14.264682,2.461523,1.0,14.527169924575414
Tulare,2022,6,21.14158538870612,26.735384496521966,12.284657,5.72268,1.0,19.645663306841538
Tulare,2022,7,24.90441237828668,40.06982756591044,21.147305,2.737938,1.0,23.251412296470782
Tulare,2022,8,25.09614169053713,44.283408218939755,22.924444,5.879965,1.0,22.716539811964267
Tulare,2022,9,22.40520256248084,31.51546937297914,12.647369,5.656867,1.0,19.600219051921115
Tulare,2022,10,16.29709263371859,35.33988879853601,22.072994,4.5453906,1.0,13.940464515262816
Tulare,2022,11,5.048057843462743,15.622108297076519,9.126825,2.3957803,1.0,8.08041035132798
Tulare,2022,12,3.547756511059845,7.777511848349841,3.2633567,1.0065601,1.0,3.97623421721782
Tulare,2022,1,4.486374848774233,,,,,
Tulare,2022,2,5.026430567973648,,,,,
Tulare,2022,3,8.48853181723041,,,,,
